iter	Passed	Remaining
608	15846	10174
609	15871	10147
610	15891	10117
611	15914	10089
612	15939	10063
613	15961	10034
614	15987	10008
615	16010	9980
616	16033	9952
617	16058	9925
618	16082	9899
619	16107	9872
620	16127	9842
621	16147	9813
622	16169	9784
623	16196	9759
624	16220	9732
625	16244	9705
626	16270	9679
627	16299	9655
628	16323	9628
629	16347	9601
630	16372	9574
631	16397	9547
632	16426	9523
633	16461	9502
634	16511	9490
635	16563	9479
636	16598	9458
637	16635	9439
638	16662	9413
639	16693	9390
640	16728	9369
641	16762	9347
642	16801	9328
643	16830	9303
644	16859	9279
645	16904	9263
646	16965	9256
647	17021	9246
648	17083	9239
649	17120	9218
650	17162	9200
651	17200	9180
652	17228	9155
653	17256	9129
654	17281	9102
655	17309	9076
656	17343	9054
657	17371	9028
658	17402	9004
659	17435	8981
660	17465	8957
661	17503	8936
662	17534	8912
663	17571	8891
664	17604	8868
665	17651	8852
666	17694	8834
667	17748	8820
668	17786	8800
669	17831	8782
670	17869	8761
671	17908	8741
672	17940	8716
673	17975	8694
674	18014	8673
675	18044	8648
676	18073	8622
677	18106	8599
678	18154	8582
679	18204	8566
680	18243	8546
681	18285	8525
682	18314	8500
683	18341	8473
684	18369	8447
685	18397	8421
686	18425	8394
687	18453	8368
688	18482	8342
689	18516	8318
690	18558	8299
691	18595	8276
692	18627	8252
693	18662	8228
694	18690	8202
695	18715	8174
696	18747	8149
697	18773	8122
698	18796	8093
699	18824	8067
700	18852	8041
701	18878	8013
702	18904	7986
703	18930	7959
704	18958	7932
705	18986	7906
706	19011	7878
707	19036	7851
708	19063	7824
709	19089	7796
710	19116	7770
711	19139	7741
712	19166	7714
713	19193	7688
714	19222	7662
715	19246	7634
716	19273	7607
717	19301	7580
718	19327	7553
719	19353	7526
720	19380	7499
721	19407	7472
722	19435	7446
723	19459	7418
724	19486	7391
725	19510	7363
726	19537	7336
727	19559	7308
728	19580	7278
729	19604	7250
730	19679	7241
731	19795	7247
732	19841	7227
733	19864	7198
734	19887	7170
735	19919	7144
736	19952	7120
737	19990	7096
738	20021	7071
739	20047	7043
740	20089	7021
741	20112	6993
742	20139	6966
743	20164	6938
744	20194	6912
745	20224	6886
